Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,CorrectForMuliWordNames(string[]) : string,73,2,,0,10,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,InitializeAllModels() : bool,73,1,,1,10,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,ErrorActions(string) : void,74,1,,5,7,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MailboxData,MailboxData(Building),74,1,,3,7,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,"Building(int, string, List<int>)",74,1,,1,7,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,GetWorkSheetContents() : DataTable,74,1,,1,9,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,ReInitizeAllModels(UserPreferences) : bool,74,1,,1,11,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,InitializedNowResetButtons() : void,74,1,,1,7,4
Type,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources, ,75,5,1,10,56,13
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,ResourceManager : ResourceManager,75,2,,5,16,6
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,ResourceManager.get() : ResourceManager,75,2,,3,9,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,MailboxListOccupantEntry() : string,75,2,,0,11,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_SavePreferences_BTN_Click(object, EventArgs) : void",75,1,,4,10,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,ExecuteNextgAction(int) : void,76,5,,8,28,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,printAndOrSaveMailList(string) : void,76,2,,2,12,4
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"MailBoxListEntry(List<Apartment>, int) : string",76,1,,3,7,3
Type,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference, ,77,4,1,2,49,13
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,"SelectBuilding2Print_listBox_SelectedIndexChanged(object, EventArgs) : void",77,2,,3,8,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"RR_Quit_BTN_Click(object, EventArgs) : void",77,1,,5,13,5
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,"AssignCellValueAndFormat(Cell, string) : void",77,1,,4,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,"DR_Renter2DeleteYes_RB_CheckedChanged(object, EventArgs) : void",77,1,,3,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,"DR_Renter2DeleteNo_RB_CheckedChanged(object, EventArgs) : void",77,1,,3,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,"Building(int, string)",77,1,,1,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,DeleteTenant(int) : void,78,1,,3,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,AddOrEditResidentDlg,Dispose(bool) : void,79,3,,2,12,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,Dispose(bool) : void,79,3,,2,12,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,Dispose(bool) : void,79,3,,2,12,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,Dispose(bool) : void,79,3,,2,12,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,Dispose(bool) : void,79,3,,2,12,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,Dispose(bool) : void,79,3,,2,12,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,Dispose(bool) : void,79,3,,2,12,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,CheckExcelWorkBookOpen,"TestAndThrowIfOpen(string, bool) : void",79,2,,1,9,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,GetBuilding(int) : Building,79,1,,3,8,3
Type,TenantRosterAutomation (Release),TenantRosterAutomation,BuildingAndApartment, ,79,1,1,0,16,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,BuildingAndApartment,"BuildingAndApartment(int, int, string)",79,1,,0,6,3
Namespace,TenantRosterAutomation (Release),TenantRosterAutomation.Properties, , ,80,6,3,12,99,17
Member,TenantRosterAutomation (Release),TenantRosterAutomation,CheckExcelWorkBookOpen,ReportOpen(bool) : string,80,2,,2,12,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,AddOrChangeWorkSheets(List<string>) : void,80,2,,1,8,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"AddNewResident_Button_Click(object, EventArgs) : void",80,1,,3,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"DeleteRenter_Button_Click(object, EventArgs) : void",80,1,,3,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,EditPreferencesDlg(),80,1,,2,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,EditPreferencesDlg,"EP_RentRosterSheetName_LISTBOX_SelectedIndexChanged(object, EventArgs) : void",81,1,,4,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,DeleteRenterDlg,DeleteRenterDlg(),81,1,,1,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Tenant,"Tenant(string, string)",81,1,,0,6,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,SaveTenantData() : void,82,3,,1,7,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,"ApartmentNumberVerifier_Form_Load(object, EventArgs) : void",82,1,,4,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,"AddEditTenant(int, Tenant) : void",82,1,,3,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,"UpdateColumn(Range, string, string, List<string>) : void",82,1,,2,6,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,"RR_SAVEEDITS_BTN_Click(object, EventArgs) : void",83,1,,5,11,3
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Apartment,Apartment(int),83,1,,3,5,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Building,AddApartmentNumber(int) : void,85,2,,1,7,2
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,SavePreferences() : void,85,2,,1,7,2
