Scope,Project,Namespace,Type,Member,Maintainability Index,Cyclomatic Complexity,Depth of Inheritance,Class Coupling,Lines of Source code,Lines of Executable code
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelFileData,WorkSheets : List<string>,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,xlApp : Application,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,xlWorkbook : Workbook,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,tenantRoster : Worksheet,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,TenantRoster : TenantDataTable,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,Complex : PropertyComplex,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,Preferences : UserPreferences,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,Globals,ExcelFile : ExcelFileData,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,printSave : PrintSavePreference.PrintSave,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,wordInteropMethods : MSWordInterface,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,SelectBuilding2Print_listBox : ListBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,AddDateToFileName_CB : CheckBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,AddDateUnderAddress_CB : CheckBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,PML_SaveAndPrint_Button : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,PML_PrintOnly_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,PML_PrintSave_GB : GroupBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,PML_SavelOnly_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,PML_PrintAndSave_RB : RadioButton,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,allApartmentNumbers : List<int>,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,PrintMailboxLists_Button : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,AddNewResident_Button : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,DeleteRenter_Button : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,EditPreferences_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,RR_Quit_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,RR_SAVEEDITS_BTN : Button,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ReportCurrentStatusWindow,CPS_Message_TB : TextBox,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,tenantData : DataTable,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,ExcelFile : ExcelFileData,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,printSaveValue : PrintSavePreference.PrintSave,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,printSavePreference : PrintSavePreference,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,"FieldNameByIndex : Dictionary<int, string>",100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,"IndexFromFieldName : Dictionary<string, int>",100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,resourceMan : ResourceManager,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation.Properties,Resources,resourceCulture : CultureInfo,100,0,,1,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier,ApartmentNumber : int,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier.NextActionEnum,ADD : ApartmentNumberVerifier.NextActionEnum,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier.NextActionEnum,DELETE : ApartmentNumberVerifier.NextActionEnum,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ApartmentNumberVerifier.NextActionEnum,EDIT : ApartmentNumberVerifier.NextActionEnum,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,BuildingAndApartment,building : int,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,BuildingAndApartment,apartment : int,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,BuildingAndApartment,fullStreetAddress : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,disposed : bool,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,tenantRosterName : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,ExcelInterface,WorkbookName : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,MSWordInterface,defaultSaveFolder : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintMailboxListsDlg,selectedBuildings : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference.PrintSave,PrintOnly : PrintSavePreference.PrintSave,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference.PrintSave,PrintAndSave : PrintSavePreference.PrintSave,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PrintSavePreference.PrintSave,SaveOnly : PrintSavePreference.PrintSave,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex,propertyName : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex.ApartmentNumberValid,APARTMENT_NUMBER_OUT_OF_RANGE : PropertyComplex.ApartmentNumberValid,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex.ApartmentNumberValid,APARTMENT_NUMBER_NONNUMERIC : PropertyComplex.ApartmentNumberValid,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex.ApartmentNumberValid,APARTMENT_NUMBER_NOT_FOUND : PropertyComplex.ApartmentNumberValid,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,PropertyComplex.ApartmentNumberValid,APARTMENT_NUMBER_VALID : PropertyComplex.ApartmentNumberValid,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,RentRosterApp,globalsInitialized : bool,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,TenantDataTable,dataChanged : bool,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,preferenceFileExists : bool,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,preferenceFileRead : bool,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,preferencesFileName : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,workBookFullFileSpec : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,workSheetName : string,100,0,,0,1,0
Member,TenantRosterAutomation (Release),TenantRosterAutomation,UserPreferences,defaultSaveFolder : string,100,0,,0,1,0
